laptop_id,company,product,typename,inches,ram(GB),opsys,weight(kg),price_euros,touchscreen,resolution,cpu_speed(GHz),cpu_brand,gpu_brand,memory_1_sto(GB),memory_1_type,memory_2_sto(GB),memory_2_type
1,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,1339.69,0,2560x1600,2.3,Intel,Intel,128.0,SSD,0.0,NaN
2,Apple,Macbook Air,Ultrabook,13.3,8.0,macOS,1.34,898.94,0,1440x900,1.8,Intel,Intel,128.0,FlashStorage,0.0,NaN
3,HP,250 G6,Notebook,15.6,8.0,Windows 10,1.86,575.0,0,1920x1080,2.5,Intel,Intel,256.0,SSD,0.0,NaN
4,Apple,MacBook Pro,Ultrabook,15.4,16.0,macOS,1.83,2537.45,0,2880x1800,2.7,Intel,AMD,512.0,SSD,0.0,NaN
5,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,1803.6,0,2560x1600,3.1,Intel,Intel,256.0,SSD,0.0,NaN
6,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.1,400.0,0,1366x768,3.0,AMD,AMD,500.0,HDD,0.0,NaN
7,Apple,MacBook Pro,Ultrabook,15.4,16.0,Mac OS X,2.04,2139.97,0,2880x1800,2.2,Intel,Intel,256.0,FlashStorage,0.0,NaN
8,Apple,Macbook Air,Ultrabook,13.3,8.0,macOS,1.34,1158.7,0,1440x900,1.8,Intel,Intel,256.0,FlashStorage,0.0,NaN
9,Asus,ZenBook UX430UN,Ultrabook,14.0,16.0,Windows 10,1.3,1495.0,0,1920x1080,1.8,Intel,Nvidia,512.0,SSD,0.0,NaN
10,Acer,Swift 3,Ultrabook,14.0,8.0,Windows 10,1.6,770.0,0,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
11,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,393.9,0,1366x768,2.5,Intel,Intel,500.0,HDD,0.0,NaN
12,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,344.99,0,1920x1080,2.0,Intel,Intel,500.0,HDD,0.0,NaN
13,Apple,MacBook Pro,Ultrabook,15.4,16.0,macOS,1.83,2439.97,0,2880x1800,2.8,Intel,AMD,256.0,SSD,0.0,NaN
14,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.2,498.9,0,1920x1080,2.0,Intel,AMD,256.0,SSD,0.0,NaN
15,Apple,"MacBook 12""",Ultrabook,12.0,8.0,macOS,0.92,1262.4,0,2304x1440,1.2,Intel,Intel,256.0,SSD,0.0,NaN
16,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,1518.55,0,2560x1600,2.3,Intel,Intel,256.0,SSD,0.0,NaN
17,Dell,Inspiron 3567,Notebook,15.6,8.0,Windows 10,2.2,745.0,0,1920x1080,2.7,Intel,AMD,256.0,SSD,0.0,NaN
18,Apple,MacBook Pro,Ultrabook,15.4,16.0,macOS,1.83,2858.0,0,2880x1800,2.9,Intel,AMD,512.0,SSD,0.0,NaN
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8.0,Windows 10,2.2,499.0,0,1920x1080,2.4,Intel,Nvidia,1000.0,HDD,0.0,NaN
20,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.22,979.0,1,1920x1080,1.6,Intel,Intel,128.0,SSD,0.0,NaN
21,Asus,Vivobook E200HA,Netbook,11.6,2.0,Windows 10,0.98,191.9,0,1366x768,1.44,Intel,Intel,32.0,FlashStorage,0.0,NaN
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8.0,Windows 10,2.5,999.0,0,1920x1080,2.5,Intel,Nvidia,128.0,SSD,1000.0,HDD
23,HP,255 G6,Notebook,15.6,4.0,Windows 10,1.86,258.0,0,1366x768,1.5,AMD,AMD,500.0,HDD,0.0,NaN
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,819.0,1,1920x1080,1.6,Intel,Intel,256.0,SSD,0.0,NaN
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8.0,Windows 10,1.91,659.0,0,1920x1080,1.8,Intel,Intel,256.0,SSD,0.0,NaN
26,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.3,418.64,0,1366x768,2.0,Intel,Intel,1000.0,HDD,0.0,NaN
